scenario,role,class_label,x1,x2,is_true_source
compact_separated,source,A,-4.538165298737462,2.132634400797946,True
compact_separated,source,A,-4.604837564449483,2.5949657725625808,True
compact_separated,source,A,-3.6372883734981865,2.353414289921314,True
compact_separated,source,A,-3.837558425200523,2.5810284638177636,True
compact_separated,source,A,-4.268713167349452,1.825239719196848,True
compact_separated,source,A,-3.7325037191865356,1.6882274895185427,True
compact_separated,source,A,-4.503118185871643,1.8076332139879965,True
compact_separated,source,A,-3.9504756817911506,1.3887072224619512,True
compact_separated,source,A,-5.355839338575018,2.125141836917372,True
compact_separated,source,A,-4.275946297069932,2.1380798920549435,True
compact_separated,source,A,-4.849732013045955,2.7348208348666514,True
compact_separated,source,A,-3.283238728845158,1.8450998409645172,True
compact_separated,source,A,-3.515337441139965,3.107483568518642,True
compact_separated,source,A,-2.979744017745867,2.315998055194828,True
compact_separated,source,A,-3.4531826064455173,1.5362307009701728,True
compact_separated,source,A,-3.52969319927552,2.3368745673241462,True
compact_separated,source,A,-3.6752259707179666,1.5061149585650089,True
compact_separated,source,A,-3.7843873762442124,1.3372875521672043,True
compact_separated,source,A,-3.912544982400229,2.520151536911949,True
compact_separated,source,A,-3.7886952945718857,2.4583893068870113,True
compact_separated,source,A,-4.624966881933552,1.3036855634392857,True
compact_separated,source,A,-4.752567150867212,2.8221610510983126,True
compact_separated,source,A,-5.115748195883844,2.0692762024561446,True
compact_separated,source,A,-4.029428023068064,2.329397194640011,True
compact_separated,source,A,-3.7912427931403356,1.9082369668528885,True
compact_separated,source,A,-5.439223189855708,1.1983503392797634,True
compact_separated,source,A,-3.938574442189144,2.225797082863379,True
compact_separated,source,A,-5.070234129583223,2.2233565143614062,True
compact_separated,source,A,-3.655531285624273,1.5030118805748298,True
compact_separated,source,A,-3.4203999017671,2.35720870591743,True
compact_separated,source,A,-4.169281340758985,1.7483693195540149,True
compact_separated,source,A,-3.675141788030409,2.6354220448495154,True
compact_separated,source,A,-4.50327691155754,2.654136245962,True
compact_separated,source,A,-3.926093932191535,2.771270978755873,True
compact_separated,source,A,-4.747521984638995,2.7368482524209052,True
compact_separated,source,A,-3.533748129780731,2.3974621555967066,True
compact_separated,source,A,-3.219408933506969,2.374098981811941,True
compact_separated,source,A,-4.7696871264257155,1.9908523076353455,True
compact_separated,source,A,-4.120129458797875,1.7790336086549337,True
compact_separated,source,A,-3.6506155221361,1.8615246730601522,True
compact_separated,source,A,-4.525730551382546,3.0482434500896707,True
compact_separated,source,A,-4.786240458406938,1.6967640196235911,True
